mcc,mnc,lac,cellid,lat,lon,signal,measured_at,rating,speed,direction,act,ta,psc,tac,pci,sid,nid,bid
302,720,29100,9438792,45.4222073,-75.6990217,-87,1628951881000,9.7,1.1889982,252.6011,LTE,1,,29100,200,,,
302,720,29100,9438792,45.4221777,-75.699084,-88,1628951886508,10.4,1.3983827,244.14828,LTE,1,,29100,200,,,
302,720,29100,9438792,45.4221521,-75.6991395,-86,1628951892013,10.0,1.0428286,253.99785,LTE,0,,29100,200,,,
302,720,29100,9438791,45.4221824,-75.6989922,-93,1628951924896,10.1,0.0,0.0,LTE,1,,29100,192,,,
302,720,29100,9438791,45.4221462,-75.6989914,-93,1628951934000,10.2,0.32375497,164.7522,LTE,1,,29100,192,,,
302,720,29100,9438791,45.422197,-75.6989624,-92,1628952073160,10.2,0.47947794,52.941917,LTE,2,,29100,192,,,
302,720,29100,9438791,45.4220186,-75.6991364,-97,1628952080000,13.1,1.1822314,265.47034,LTE,1,,29100,192,,,
302,720,29100,9438792,45.4220929,-75.6991075,-86,1628952085371,33.5,1.1506866,8.924081,LTE,1,,29100,200,,,
302,720,29100,9438792,45.4220674,-75.6991539,-77,1628952090706,21.3,0.6956581,231.79236,LTE,0,,29100,200,,,
302,720,29100,9438792,45.4220042,-75.6992307,-80,1628952095802,19.3,1.154826,223.67998,LTE,0,,29100,200,,,
302,720,29100,9438792,45.4219587,-75.6993148,-79,1628952101604,17.5,1.1496108,226.9155,LTE,0,,29100,200,,,
302,720,29100,9438792,45.421947,-75.6994542,-79,1628952107165,14.8,1.2413231,246.29106,LTE,0,,29100,200,,,
302,720,29100,9438792,45.4219326,-75.6995552,-84,1628952112847,9.8,0.9895243,237.58762,LTE,0,,29100,200,,,
302,720,29100,9438792,45.4219001,-75.6996647,-86,1628952118307,10.2,1.0446067,239.73071,LTE,1,,29100,200,,,
302,720,29100,9438792,45.4218664,-75.6997629,-88,1628952123880,9.5,1.0817941,240.53351,LTE,,,29100,200,,,
302,720,29100,9438792,45.4218256,-75.6998611,-84,1628952129458,9.0,0.99383956,243.08577,LTE,0,,29100,200,,,
302,720,29100,9438792,45.4217947,-75.6999323,-84,1628952135000,9.2,1.006286,236.91273,LTE,0,,29100,200,,,
302,720,29100,9438792,45.4217611,-75.6999542,-83,1628952140503,9.5,0.3002921,220.82237,LTE,,,29100,200,,,
302,720,29100,9438792,45.4218378,-75.6999241,-83,1628952335980,13.6,0.0,0.0,LTE,0,,29100,200,,,
302,720,29100,9438792,45.4218768,-75.6999233,-82,1628952341172,121.1,0.25237465,0.85330254,LTE,0,,29100,200,,,
302,720,29100,9438792,45.4218841,-75.6999419,-84,1628952346194,166.0,0.048766334,306.40125,LTE,0,,29100,200,,,
302,720,29100,9438792,45.4218585,-75.6999363,-82,1628952351641,24.6,3.2931042E-4,105.27123,LTE,0,,29100,200,,,
302,720,29100,9438792,45.4218201,-75.6999813,-83,1628952357215,19.1,0.3256606,265.75006,LTE,,,29100,200,,,
302,720,29100,9438792,45.4217747,-75.7000284,-82,1628952362458,16.6,0.8899356,229.31155,LTE,1,,29100,200,,,
302,720,29100,9438792,45.4216779,-75.700128,-84,1628952368176,13.4,1.1096203,221.08504,LTE,1,,29100,200,,,
302,720,29100,9438792,45.421621,-75.7002046,-84,1628952373880,11.4,1.1355549,223.17207,LTE,1,,29100,200,,,
302,720,29100,9438792,45.4215824,-75.70031,-83,1628952379217,10.7,1.2330045,229.82043,LTE,1,,29100,200,,,
302,720,29100,9438792,45.4215521,-75.700387,-83,1628952384317,11.6,1.1822987,232.40575,LTE,0,,29100,200,,,
302,720,29100,9438792,45.4215259,-75.7004672,-85,1628952390218,12.1,1.1134338,235.64772,LTE,1,,29100,200,,,
302,720,29100,9438792,45.4214974,-75.7005481,-84,1628952396271,12.2,1.0696962,237.44388,LTE,,,29100,200,,,
302,720,29100,9438792,45.4214787,-75.7006382,-84,1628952401775,12.0,1.0715859,242.01537,LTE,,,29100,200,,,
302,720,29100,9438792,45.4214514,-75.700729,-86,1628952407156,11.6,1.0857961,242.92416,LTE,,,29100,200,,,
302,720,29100,9438792,45.421391,-75.7008582,-86,1628952413000,9.2,1.2520941,240.71799,LTE,1,,29100,200,,,
302,720,29100,9438792,45.4213596,-75.7009383,-84,1628952418000,9.7,1.2750591,244.41467,LTE,,,29100,200,,,
302,720,29100,9438792,45.4213197,-75.7010173,-84,1628952424000,8.9,1.2222629,243.15169,LTE,,,29100,200,,,
302,720,29100,9438792,45.4212994,-75.7010795,-86,1628952429042,9.4,1.1779078,248.77725,LTE,1,,29100,200,,,
302,720,29100,9438792,45.4212792,-75.7011287,-81,1628952434082,9.1,1.0214763,249.71652,LTE,1,,29100,200,,,
302,720,29100,9438792,45.4212567,-75.7011653,-81,1628952439294,9.5,0.9742583,244.33781,LTE,,,29100,200,,,
302,720,29100,9438792,45.4212386,-75.7011488,-81,1628952447294,8.2,0.3243608,180.72815,LTE,1,,29100,200,,,
302,720,29100,9438792,45.4212847,-75.7010698,-82,1628952578837,11.7,0.2891216,147.25139,LTE,1,,29100,200,,,
302,720,29100,9438792,45.4213029,-75.7011092,-85,1628952584011,117.1,0.3641429,303.6515,LTE,1,,29100,200,,,
302,720,29100,9438792,45.4213071,-75.7010881,-83,1628952589375,34.1,0.5453239,83.08957,LTE,1,,29100,200,,,
302,720,29100,9438792,45.421258,-75.7011655,-82,1628952594871,19.4,1.1737578,227.56644,LTE,1,,29100,200,,,
302,720,29100,9438792,45.421161,-75.7012774,-85,1628952601183,13.9,0.8632234,222.12624,LTE,1,,29100,200,,,
302,720,29100,9438792,45.4211113,-75.7013428,-83,1628952607132,11.9,0.9243505,225.85243,LTE,1,,29100,200,,,
302,720,29100,9438792,45.4210829,-75.7014133,-85,1628952613575,13.1,0.8070665,232.34903,LTE,,,29100,200,,,
302,720,29100,9438792,45.4210985,-75.7014665,-84,1628952619098,14.1,0.5702262,164.0251,LTE,,,29100,200,,,
302,720,29100,9438792,45.4210293,-75.7014806,-85,1628952624537,16.9,1.206943,232.93732,LTE,,,29100,200,,,
