mcc,mnc,lac,cellid,lat,lon,signal,measured_at,rating,speed,direction,act,ta,psc,tac,pci,sid,nid,bid
302,720,29050,9391431,45.3463624,-75.816236,-81,1621603609423,16.1,1.419415,334.4032,LTE,,,29050,96,,,
302,720,29050,9391431,45.3464274,-75.8162708,-83,1621603616000,7.6,1.3773687,335.1963,LTE,,,29050,96,,,
302,720,29050,9391431,45.3464882,-75.8163148,-86,1621603620474,7.9,1.3747264,335.23407,LTE,,,29050,96,,,
302,720,29050,9391431,45.3465499,-75.8163444,-88,1621603625911,8.5,1.3849862,336.25552,LTE+,1,,29050,96,,,
302,720,29050,9391431,45.346617,-75.8163819,-90,1621603631309,11.7,1.4584557,335.8462,LTE+,1,,29050,96,,,
302,720,29050,9391431,45.3466848,-75.8164181,-91,1621603636725,11.6,1.4660589,336.9621,LTE+,1,,29050,96,,,
302,720,29050,9391431,45.3467534,-75.8164429,-92,1621603642144,8.7,1.3949051,339.9866,LTE+,1,,29050,96,,,
302,720,29050,9391431,45.3468225,-75.8164739,-86,1621603647567,8.1,1.4009128,342.5682,LTE,,,29050,96,,,
302,720,29050,9391431,45.3468904,-75.8165097,-89,1621603652989,8.3,1.4348266,342.14532,LTE,,,29050,96,,,
302,720,29050,9391431,45.3469536,-75.8165413,-94,1621603658406,8.7,1.4244405,344.36792,LTE+,1,,29050,96,,,
302,720,29050,9391431,45.3470303,-75.8165717,-94,1621603666000,8.2,1.2071168,339.03055,LTE+,1,,29050,96,,,
302,720,29050,9391431,45.3471035,-75.8165901,-94,1621603670523,8.2,1.2704109,342.8059,LTE+,1,,29050,96,,,
302,720,29050,9391433,45.3471659,-75.8166213,-85,1621603675986,7.8,1.1776904,343.68643,LTE,,,29050,112,,,
302,720,29050,9391433,45.3472235,-75.8166698,-96,1621603681283,7.3,1.2858086,335.552,LTE+,1,,29050,112,,,
302,720,29050,9391433,45.3472938,-75.8167106,-93,1621603686669,8.4,1.3438754,340.96973,LTE+,1,,29050,112,,,
302,720,29050,9391433,45.3473612,-75.816754,-99,1621603691966,8.3,1.3568574,341.1824,LTE+,1,,29050,112,,,
302,720,29050,9391433,45.3474362,-75.8168146,-97,1621603697342,8.0,1.4498503,337.20862,LTE+,1,,29050,112,,,
302,720,29050,9391433,45.3475032,-75.8168634,-93,1621603702804,8.0,1.4400146,335.94775,LTE+,1,,29050,112,,,
302,720,29050,9391433,45.3475756,-75.816913,-89,1621603708365,8.4,1.454434,334.72995,LTE+,1,,29050,112,,,
302,720,29050,9391433,45.3476329,-75.8169463,-88,1621603713383,8.7,1.4246893,333.81857,LTE,,,29050,112,,,
302,720,29050,9391433,45.3477002,-75.816992,-90,1621603719483,8.5,1.3745286,332.5551,LTE+,2,,29050,112,,,
302,720,29050,9391433,45.3477528,-75.8170518,-90,1621603726000,10.0,1.4035244,329.48767,LTE+,2,,29050,112,,,
302,720,29050,9391433,45.3478086,-75.8170904,-90,1621603731000,12.2,1.4260641,329.92078,LTE+,2,,29050,112,,,
302,720,29050,9391433,45.3478798,-75.8171003,-91,1621603736000,10.0,1.432202,331.3058,LTE+,2,,29050,112,,,
302,720,29050,9391433,45.3479495,-75.8171315,-95,1621603740327,7.9,1.3648686,335.19992,LTE+,1,,29050,112,,,
302,720,29050,9391433,45.3480124,-75.8171595,-91,1621603745821,10.4,1.1964363,337.5615,LTE+,2,,29050,112,,,
302,720,29050,9391433,45.3480999,-75.8171398,-96,1621603751308,10.6,1.2151495,345.5808,LTE+,2,,29050,112,,,
302,720,29050,9391433,45.3481774,-75.8171425,-96,1621603756870,11.9,1.3132696,351.71664,LTE+,2,,29050,112,,,
302,720,29050,9391433,45.3482313,-75.8171985,-98,1621603762143,12.2,1.3819032,349.9065,LTE+,2,,29050,112,,,
302,720,29050,9391433,45.3482917,-75.8172416,-95,1621603767585,9.8,1.356526,343.6254,LTE+,2,,29050,112,,,
302,720,29050,9391433,45.3483574,-75.817277,-98,1621603772907,11.5,1.3668556,339.6094,LTE+,2,,29050,112,,,
302,720,29050,9391433,45.3484169,-75.8173155,-97,1621603778165,12.6,1.3955344,336.53137,LTE+,2,,29050,112,,,
302,720,29050,9391433,45.348477,-75.8173592,-97,1621603783604,12.7,0.10017408,337.7082,LTE+,2,,29050,112,,,
302,720,29050,9391433,45.3485435,-75.8174065,-97,1621603788949,14.1,1.5179123,334.27283,LTE+,2,,29050,112,,,
302,720,29050,9391433,45.3486183,-75.8174602,-96,1621603794321,17.1,1.5225753,338.8781,LTE+,2,,29050,112,,,
302,720,29050,9391433,45.3486823,-75.8175026,-97,1621603799705,17.5,1.4182385,339.9351,LTE+,2,,29050,112,,,
302,720,29050,9391433,45.3487495,-75.8175371,-96,1621603806000,16.9,1.4497151,342.25974,LTE+,2,,29050,112,,,
302,720,29050,9391433,45.3488155,-75.8175741,-100,1621603811000,16.8,1.4960946,342.4325,LTE+,2,,29050,112,,,
302,720,29050,9391433,45.3488951,-75.8176453,-96,1621603815706,16.9,1.5600216,337.0868,LTE+,3,,29050,112,,,
302,720,29050,9391433,45.3489776,-75.8176883,-98,1621603821071,17.5,1.6755221,340.41043,LTE+,2,,29050,112,,,
302,720,29050,9391433,45.3490647,-75.8177436,-101,1621603827545,17.2,1.6896561,339.18057,LTE+,2,,29050,112,,,
302,720,29050,9391433,45.3491337,-75.817788,-96,1621603832985,17.3,1.6363596,343.01242,LTE+,3,,29050,112,,,
302,720,29050,9391433,45.3491978,-75.8178055,-102,1621603838390,16.5,1.5366402,350.6575,LTE+,3,,29050,112,,,
302,720,29050,9391433,45.3492657,-75.8177958,-101,1621603843846,16.9,1.4515564,358.27164,LTE+,3,,29050,112,,,
302,720,29050,9391433,45.3493268,-75.8177565,-103,1621603849323,9.9,1.3481619,6.399216,LTE+,3,,29050,112,,,
302,720,29050,9391433,45.3493868,-75.8177087,-101,1621603856000,9.0,1.3252792,13.274837,LTE,,,29050,112,,,
302,720,29050,9391433,45.3494353,-75.8176415,-102,1621603861000,10.9,1.3872703,23.460354,LTE,,,29050,112,,,
302,720,29050,9391433,45.3494568,-75.8175106,-107,1621603865381,11.9,1.2578338,43.01106,LTE+,3,,29050,112,,,
302,720,29050,9391433,45.3494769,-75.8173628,-110,1621603870786,10.6,1.2162913,56.8728,LTE+,4,,29050,112,,,
302,720,29050,9391383,45.3495116,-75.8172726,-90,1621603876664,12.2,1.2836207,64.17086,LTE+,3,,29050,112,,,
302,720,29050,9391383,45.3495268,-75.8171967,-90,1621603882141,11.9,1.3177564,64.758385,LTE+,4,,29050,112,,,
302,720,29050,9391383,45.3495632,-75.8171414,-88,1621603887524,11.7,1.2016124,62.838127,LTE+,4,,29050,112,,,
302,720,29050,9391383,45.3496136,-75.8170722,-92,1621603893004,13.3,1.0879712,58.767963,LTE+,4,,29050,112,,,
302,720,29050,9391383,45.3496697,-75.8169919,-88,1621603898530,14.1,1.1884259,53.402374,LTE+,4,,29050,112,,,
302,720,29050,9391383,45.3497138,-75.8169101,-91,1621603903844,14.5,1.2616794,51.382587,LTE+,4,,29050,112,,,
302,720,29050,9391383,45.3497501,-75.8168356,-91,1621603909325,16.1,1.1772825,51.817677,LTE+,4,,29050,112,,,
302,720,29050,9391383,45.3497969,-75.816753,-93,1621603916000,17.6,1.1978697,51.65599,LTE+,,,29050,112,,,
302,720,29050,9391383,45.3498592,-75.8166115,-93,1621603920845,16.9,1.2647271,50.721817,LTE+,4,,29050,112,,,
302,720,29050,9391383,45.3498917,-75.816484,-95,1621603925864,16.0,1.1822449,50.29309,LTE+,5,,29050,112,,,
302,720,29050,26317827,45.3499134,-75.8163853,-68,1621603931388,15.7,1.290646,52.665657,LTE,4,,29050,217,,,
302,720,29050,26317827,45.3499353,-75.81631,-73,1621603936886,17.5,1.4016055,54.254856,LTE,3,,29050,217,,,
302,720,29050,26317827,45.3500043,-75.8162785,-70,1621603942466,20.8,1.3961194,52.907356,LTE,3,,29050,217,,,
302,720,29050,26317827,45.3500648,-75.8162318,-73,1621603947891,18.4,1.3395232,54.195698,LTE,3,,29050,217,,,
302,720,29050,26317827,45.3501091,-75.8161637,-72,1621603953301,11.9,1.3440773,58.705204,LTE,3,,29050,217,,,
302,720,29050,26317827,45.3501558,-75.8160905,-71,1621603958707,8.9,1.3237616,59.087315,LTE,,,29050,217,,,
302,720,29050,26317827,45.350212,-75.8160153,-74,1621603964204,8.7,1.4107215,54.986546,LTE,3,,29050,217,,,
302,720,29050,26317827,45.3502639,-75.8159352,-71,1621603969706,8.7,1.328653,50.724228,LTE,3,,29050,217,,,
302,720,29050,26317827,45.3503155,-75.8158612,-70,1621603976000,8.8,1.3982528,47.980118,LTE,3,,29050,217,,,
302,720,29050,26317827,45.3503669,-75.815778,-69,1621603979999,8.9,1.4103452,45.494137,LTE,3,,29050,217,,,
