mcc,mnc,lac,cellid,lat,lon,signal,measured_at,rating,speed,direction,act,ta,psc,tac,pci,sid,nid,bid
302,720,29050,9391431,45.3466198,-75.8163474,-87,1621861844948,86.7,0.20444289,312.6812,LTE+,1,,29050,96,,,
302,720,29050,9391431,45.3462077,-75.8161862,-90,1621861851897,4.8,1.1686852,343.32248,LTE+,0,,29050,96,,,
302,720,29050,9391431,45.346254,-75.8161834,-90,1621861857492,10.7,1.107902,356.97253,LTE+,0,,29050,96,,,
302,720,29050,9391431,45.3463405,-75.816206,-87,1621861862590,9.9,1.2363554,355.87012,LTE+,1,,29050,96,,,
302,720,29050,9391431,45.346407,-75.8162382,-90,1621861867591,9.7,1.2613822,348.77563,LTE+,1,,29050,96,,,
302,720,29050,9391431,45.3464787,-75.8162721,-88,1621861873306,8.3,1.3190745,347.16263,LTE+,1,,29050,96,,,
302,720,29050,9391431,45.346557,-75.8162841,-88,1621861878853,8.2,1.3657027,346.65717,LTE+,0,,29050,96,,,
302,720,29050,9391431,45.3466258,-75.8162847,-90,1621861883949,11.5,1.393965,348.20416,LTE+,1,,29050,96,,,
302,720,29050,9391431,45.346696,-75.8163256,-91,1621861889991,14.4,1.3616018,349.18777,LTE+,1,,29050,96,,,
302,720,29050,9391431,45.3467445,-75.8164049,-91,1621861895471,12.8,1.3409866,346.0268,LTE+,1,,29050,96,,,
302,720,29050,9391431,45.3467972,-75.8164582,-90,1621861900645,8.8,1.3257765,341.4841,LTE+,1,,29050,96,,,
302,720,29050,9391431,45.3468718,-75.8165136,-88,1621861906687,7.7,1.5085827,338.7568,LTE+,1,,29050,96,,,
302,720,29050,9391431,45.3469421,-75.8165582,-90,1621861912147,7.9,1.5110978,336.6945,LTE+,1,,29050,96,,,
302,720,29050,9391431,45.3469979,-75.8165743,-92,1621861919000,8.2,1.2403309,340.26898,LTE+,1,,29050,96,,,
302,720,29050,9391431,45.3470549,-75.8166144,-90,1621861923048,8.2,1.3065025,336.76923,LTE+,1,,29050,96,,,
302,720,29050,9391431,45.3471129,-75.816666,-93,1621861928470,7.8,1.3322529,333.77438,LTE+,1,,29050,96,,,
302,720,29050,9391431,45.3471612,-75.8167399,-96,1621861933620,7.9,1.3704808,330.11316,LTE+,1,,29050,96,,,
302,720,29050,9391431,45.3472318,-75.81678,-97,1621861939490,10.5,1.3560224,332.88177,LTE+,1,,29050,96,,,
302,720,29050,9391431,45.3473054,-75.8167908,-98,1621861944970,11.6,1.3229452,337.1992,LTE+,1,,29050,96,,,
302,720,29050,9391431,45.3473669,-75.8168308,-95,1621861950460,9.6,1.3388271,339.01974,LTE+,1,,29050,96,,,
302,720,29050,9391431,45.3474295,-75.8168637,-95,1621861955507,11.7,1.3699683,336.66306,LTE+,1,,29050,96,,,
302,720,29050,9391431,45.3475057,-75.8168831,-93,1621861961512,10.0,1.3477908,339.348,LTE+,1,,29050,96,,,
302,720,29050,9391431,45.3475721,-75.8169176,-91,1621861966971,9.1,1.3723742,340.49487,LTE+,2,,29050,96,,,
