mcc,mnc,lac,cellid,lat,lon,signal,measured_at,rating,speed,direction,act,ta,psc,tac,pci,sid,nid,bid
302,720,29050,9391433,45.3468183,-75.8159414,-93,1625229674057,21.8,0.0,0.0,LTE+,1,,29050,112,,,
302,720,29050,9391433,45.3467425,-75.8162991,-91,1625229681000,24.8,0.89959383,339.169,LTE+,1,,29050,112,,,
302,720,29050,9391433,45.3467285,-75.8163562,-92,1625229686279,42.4,0.84532577,228.51118,LTE+,1,,29050,112,,,
302,720,29050,9391433,45.3467793,-75.8163169,-92,1625229691391,21.3,1.1196666,284.41156,LTE+,1,,29050,112,,,
302,720,29050,9391433,45.3467734,-75.8164811,-94,1625229696860,12.4,1.1902773,277.55234,LTE+,1,,29050,112,,,
302,720,29050,9391433,45.3467983,-75.8165723,-93,1625229702355,9.4,1.1889408,283.50464,LTE+,1,,29050,112,,,
302,720,29050,9391433,45.3468456,-75.8166341,-91,1625229707540,11.2,1.1810238,292.6113,LTE+,1,,29050,112,,,
302,720,29050,9391433,45.3469214,-75.8166642,-95,1625229713502,12.4,1.1252369,317.49347,LTE+,1,,29050,112,,,
302,720,29050,9391433,45.347024,-75.8166236,-93,1625229718537,9.9,1.1674416,340.38098,LTE+,1,,29050,112,,,
302,720,29050,9391433,45.3470942,-75.816625,-95,1625229723711,8.4,1.190882,345.67206,LTE+,1,,29050,112,,,
302,720,29050,9391433,45.3471629,-75.8166649,-91,1625229730000,9.3,1.1671237,344.1555,LTE+,1,,29050,112,,,
302,720,29050,9391433,45.3471736,-75.8166645,-91,1625229735000,9.8,0.59814936,358.03723,LTE+,1,,29050,112,,,
302,720,29050,9391433,45.3470375,-75.8167134,-94,1625229941600,16.0,0.0,90.0,LTE+,1,,29050,112,,,
302,720,29050,9391433,45.3472435,-75.8167418,-93,1625229947000,64.2,1.5545795,318.76392,LTE+,1,,29050,112,,,
302,720,29050,9391433,45.347277,-75.8167377,-94,1625229952316,19.8,1.1417106,331.7975,LTE+,1,,29050,112,,,
302,720,29050,9391433,45.3473181,-75.8167626,-91,1625229957916,12.8,1.1949632,338.4911,LTE+,1,,29050,112,,,
302,720,29050,9391433,45.3473682,-75.8168358,-96,1625229963000,9.8,0.9280736,331.40753,LTE+,1,,29050,112,,,
302,720,29050,9391433,45.3474296,-75.8168618,-97,1625229968000,11.4,1.1908056,339.87787,LTE+,1,,29050,112,,,
302,720,29050,9391433,45.3475187,-75.8168608,-92,1625229974793,9.7,1.2017597,347.32343,LTE+,1,,29050,112,,,
302,720,29050,9391433,45.3475693,-75.8168997,-93,1625229980494,10.4,1.2770704,347.0606,LTE+,1,,29050,112,,,
302,720,29050,9391433,45.3476318,-75.8169242,-94,1625229986077,8.3,1.2206413,351.7983,LTE+,1,,29050,112,,,
